m,c,error
1.55,15.21,15.303916
1.55,15.22,15.300295
1.55,15.23,15.29668
1.55,15.24,15.29307
1.55,15.25,15.289466
1.55,15.26,15.285867
1.55,15.27,15.282275
1.55,15.28,15.278688
1.55,15.29,15.275106
1.55,15.3,15.271531
1.55,15.31,15.267961
1.55,15.32,15.264397
1.55,15.33,15.260838
1.55,15.34,15.257286
1.55,15.35,15.253739
1.55,15.36,15.250198
1.55,15.37,15.246662
1.55,15.38,15.243132
1.55,15.39,15.239608
1.55,15.4,15.23609
1.54,15.41,15.23244
1.54,15.42,15.228597
1.54,15.43,15.224759
1.54,15.44,15.220927
1.54,15.45,15.217101
1.54,15.46,15.21328
1.54,15.47,15.209465
1.54,15.48,15.205655
1.54,15.49,15.201851
1.54,15.5,15.198053
1.54,15.51,15.19426
1.54,15.52,15.190473
1.54,15.53,15.186692
1.54,15.54,15.182916
1.54,15.55,15.179146
1.54,15.56,15.175382
1.54,15.57,15.171623
1.54,15.58,15.16787
1.54,15.59,15.164122
1.54,15.6,15.16038
1.54,15.61,15.156644
1.54,15.62,15.152914
1.54,15.63,15.149189
1.54,15.64,15.14547
1.54,15.65,15.141757
1.54,15.66,15.138049
1.54,15.67,15.134347
1.54,15.68,15.130651
1.54,15.69,15.12696
1.54,15.7,15.123275
1.54,15.71,15.119596
1.54,15.72,15.115923
1.54,15.73,15.112255
1.54,15.74,15.108593
1.54,15.75,15.104937
1.54,15.76,15.101286
1.54,15.77,15.097641
1.54,15.78,15.094002
1.54,15.79,15.090369
1.54,15.8,15.086741
1.54,15.81,15.08312
1.54,15.82,15.079504
1.54,15.83,15.075893
1.54,15.84,15.072289
1.54,15.85,15.06869
1.54,15.86,15.065097
1.54,15.87,15.06151
1.54,15.88,15.057929
1.54,15.89,15.054353
1.54,15.9,15.050784
1.54,15.91,15.04722
1.54,15.92,15.043661
1.54,15.93,15.040109
1.54,15.94,15.036563
1.54,15.95,15.033022
1.54,15.96,15.029487
1.54,15.97,15.025958
1.54,15.98,15.022435
1.54,15.99,15.018917
1.54,16,15.015406
1.54,16.01,15.0119
1.54,16.02,15.0084
1.54,16.03,15.004906
1.54,16.04,15.001418
1.54,16.05,14.997935
1.54,16.06,14.994459
1.54,16.07,14.990988
1.53,16.08,14.98752
1.53,16.09,14.983719
1.53,16.1,14.979924
1.53,16.11,14.976135
1.53,16.12,14.972351
1.53,16.13,14.968573
1.53,16.14,14.964801
1.53,16.15,14.961035
1.53,16.16,14.957274
1.53,16.17,14.953519
1.53,16.18,14.94977
1.53,16.19,14.946026
1.53,16.2,14.942289
1.53,16.21,14.938557
1.53,16.22,14.93483
1.53,16.23,14.93111
1.53,16.24,14.927395
1.53,16.25,14.923686
1.53,16.26,14.919983
1.53,16.27,14.916286
1.53,16.28,14.912594
1.53,16.29,14.908909
1.53,16.3,14.905229
1.53,16.31,14.901555
1.53,16.32,14.897886
1.53,16.33,14.894224
1.53,16.34,14.890567
1.53,16.35,14.886916
1.53,16.36,14.883271
1.53,16.37,14.879632
1.53,16.38,14.875998
1.53,16.39,14.872371
1.53,16.4,14.868749
1.53,16.41,14.865133
1.53,16.42,14.861523
1.53,16.43,14.857919
1.53,16.44,14.854321
1.53,16.45,14.850728
1.53,16.46,14.847142
1.53,16.47,14.843561
1.53,16.48,14.839986
1.53,16.49,14.836417
1.53,16.5,14.832854
1.53,16.51,14.829297
1.53,16.52,14.825745
1.53,16.53,14.8222
1.53,16.54,14.81866
1.53,16.55,14.815127
1.53,16.56,14.811599
1.53,16.57,14.808077
1.53,16.58,14.804561
1.53,16.59,14.801051
1.53,16.6,14.797547
