m,c,error
1.31,31.55,10.656558
1.31,31.56,10.655153
1.31,31.57,10.653758
1.31,31.58,10.652372
1.3,31.59,10.650599
1.3,31.6,10.64875
1.3,31.61,10.646911
1.3,31.62,10.64508
1.3,31.63,10.643258
1.3,31.64,10.641446
1.3,31.65,10.639642
1.3,31.66,10.637848
1.3,31.67,10.636063
1.3,31.68,10.634287
1.3,31.69,10.63252
1.3,31.7,10.630762
1.3,31.71,10.629013
1.3,31.72,10.627273
1.3,31.73,10.625543
1.3,31.74,10.623821
1.3,31.75,10.622109
1.3,31.76,10.620406
1.3,31.77,10.618712
1.3,31.78,10.617027
1.3,31.79,10.615351
1.3,31.8,10.613685
1.3,31.81,10.612027
1.3,31.82,10.610379
1.3,31.83,10.60874
1.3,31.84,10.60711
1.3,31.85,10.605489
1.3,31.86,10.603878
1.3,31.87,10.602276
1.3,31.88,10.600683
1.3,31.89,10.599099
1.3,31.9,10.597524
1.3,31.91,10.595958
1.3,31.92,10.594402
1.3,31.93,10.592855
1.3,31.94,10.591317
1.3,31.95,10.589788
1.3,31.96,10.588269
1.3,31.97,10.586759
1.3,31.98,10.585258
1.3,31.99,10.583766
1.3,32,10.582283
1.3,32.01,10.58081
1.3,32.02,10.579346
1.3,32.03,10.577891
1.3,32.04,10.576446
1.3,32.05,10.575009
1.3,32.06,10.573582
1.3,32.07,10.572165
1.3,32.08,10.570756
1.3,32.09,10.569357
1.3,32.1,10.567967
1.3,32.11,10.566587
1.3,32.12,10.565215
1.3,32.13,10.563853
1.3,32.14,10.5625
1.3,32.15,10.561157
1.3,32.16,10.559823
1.3,32.17,10.558498
1.3,32.18,10.557182
1.3,32.19,10.555876
1.3,32.2,10.554579
1.3,32.21,10.553291
1.3,32.22,10.552013
1.3,32.23,10.550744
1.3,32.24,10.549485
1.3,32.25,10.548234
1.29,32.26,10.546787
1.29,32.27,10.54507
1.29,32.28,10.543362
1.29,32.29,10.541663
1.29,32.3,10.539973
1.29,32.31,10.538292
1.29,32.32,10.536621
1.29,32.33,10.534958
1.29,32.34,10.533305
1.29,32.35,10.531662
1.29,32.36,10.530027
1.29,32.37,10.528402
1.29,32.38,10.526786
1.29,32.39,10.525179
1.29,32.4,10.523582
1.29,32.41,10.521993
1.29,32.42,10.520414
1.29,32.43,10.518845
1.29,32.44,10.517284
1.29,32.45,10.515733
1.29,32.46,10.514191
1.29,32.47,10.512659
1.29,32.48,10.511135
1.29,32.49,10.509621
1.29,32.5,10.508117
1.29,32.51,10.506621
1.29,32.52,10.505135
1.29,32.53,10.503658
1.29,32.54,10.502191
1.29,32.55,10.500733
1.29,32.56,10.499284
1.29,32.57,10.497845
1.29,32.58,10.496414
1.29,32.59,10.494994
1.29,32.6,10.493582
1.29,32.61,10.49218
1.29,32.62,10.490787
1.29,32.63,10.489404
1.29,32.64,10.488029
1.29,32.65,10.486665
1.29,32.66,10.485309
1.29,32.67,10.483963
1.29,32.68,10.482627
1.29,32.69,10.481299
1.29,32.7,10.479981
1.29,32.71,10.478673
1.29,32.72,10.477374
1.29,32.73,10.476084
1.29,32.74,10.474804
1.29,32.75,10.473533
1.29,32.76,10.472271
1.29,32.77,10.471019
1.29,32.78,10.469776
1.29,32.79,10.468542
1.29,32.8,10.467319
1.29,32.81,10.466104
1.29,32.82,10.464899
1.29,32.83,10.463703
1.29,32.84,10.462517
1.29,32.85,10.46134
1.29,32.86,10.460172
1.29,32.87,10.459014
1.29,32.88,10.457866
1.29,32.89,10.456726
1.29,32.9,10.455597
1.29,32.91,10.454476
1.29,32.92,10.453366
1.28,32.93,10.452252
1.28,32.94,10.45067
1.28,32.95,10.449097
1.28,32.96,10.447534
1.28,32.97,10.44598
1.28,32.98,10.444435
1.28,32.99,10.4429
1.28,33,10.441373
1.28,33.01,10.439857
1.28,33.02,10.438349
1.28,33.03,10.436851
1.28,33.04,10.435363
1.28,33.05,10.433883
1.28,33.06,10.432413
1.28,33.07,10.430953
1.28,33.08,10.429502
1.28,33.09,10.42806
1.28,33.1,10.426628
1.28,33.11,10.425205
1.28,33.12,10.423791
1.28,33.13,10.422387
1.28,33.14,10.420992
1.28,33.15,10.419607
1.28,33.16,10.418231
1.28,33.17,10.416864
1.28,33.18,10.415507
1.28,33.19,10.414159
1.28,33.2,10.412821
1.28,33.21,10.411492
1.28,33.22,10.410173
1.28,33.23,10.408863
1.28,33.24,10.407563
1.28,33.25,10.406272
1.28,33.26,10.40499
1.28,33.27,10.403718
1.28,33.28,10.402455
1.28,33.29,10.401202
1.28,33.3,10.399958
1.28,33.31,10.398724
1.28,33.32,10.397499
1.28,33.33,10.396284
1.28,33.34,10.395078
1.28,33.35,10.393881
1.28,33.36,10.392695
1.28,33.37,10.391517
1.28,33.38,10.390349
1.28,33.39,10.389191
1.28,33.4,10.388042
1.28,33.41,10.386902
1.28,33.42,10.385772
1.28,33.43,10.384652
1.28,33.44,10.383541
1.28,33.45,10.38244
1.28,33.46,10.381348
1.28,33.47,10.380265
1.28,33.48,10.379193
1.28,33.49,10.378129
1.28,33.5,10.377076
1.28,33.51,10.376031
1.28,33.52,10.374997
1.28,33.53,10.373971
1.28,33.54,10.372956
1.28,33.55,10.37195
1.28,33.56,10.370953
1.28,33.57,10.369966
1.28,33.58,10.368989
1.28,33.59,10.368021
1.28,33.6,10.367062
1.27,33.61,10.365805
1.27,33.62,10.364371
1.27,33.63,10.362947
1.27,33.64,10.361532
1.27,33.65,10.360127
1.27,33.66,10.358731
1.27,33.67,10.357345
1.27,33.68,10.355968
1.27,33.69,10.354601
1.27,33.7,10.353243
1.27,33.71,10.351895
1.27,33.72,10.350556
1.27,33.73,10.349227
1.27,33.74,10.347907
1.27,33.75,10.346596
1.27,33.76,10.345295
1.27,33.77,10.344004
1.27,33.78,10.342722
1.27,33.79,10.34145
1.27,33.8,10.340187
1.27,33.81,10.338934
1.27,33.82,10.33769
1.27,33.83,10.336456
1.27,33.84,10.335231
1.27,33.85,10.334016
1.27,33.86,10.33281
1.27,33.87,10.331614
1.27,33.88,10.330427
1.27,33.89,10.32925
1.27,33.9,10.328082
1.27,33.91,10.326925
1.27,33.92,10.325776
1.27,33.93,10.324637
1.27,33.94,10.323508
1.27,33.95,10.322388
1.27,33.96,10.321278
1.27,33.97,10.320177
1.27,33.98,10.319086
1.27,33.99,10.318005
1.27,34,10.316933
1.27,34.01,10.315871
1.27,34.02,10.314818
1.27,34.03,10.313775
1.27,34.04,10.312741
1.27,34.05,10.311718
1.27,34.06,10.310703
1.27,34.07,10.309698
1.27,34.08,10.308703
1.27,34.09,10.307718
1.27,34.1,10.306742
1.27,34.11,10.305776
1.27,34.12,10.304819
1.27,34.13,10.303872
1.27,34.14,10.302934
1.27,34.15,10.302007
1.27,34.16,10.301088
1.27,34.17,10.30018
1.27,34.18,10.299281
1.27,34.19,10.298392
1.27,34.2,10.297512
1.27,34.21,10.296642
1.27,34.22,10.295781
1.27,34.23,10.294931
1.27,34.24,10.294089
1.27,34.25,10.293258
1.27,34.26,10.292436
1.27,34.27,10.291624
1.26,34.28,10.290709
1.26,34.29,10.289419
1.26,34.3,10.288137
1.26,34.31,10.286866
1.26,34.32,10.285604
1.26,34.33,10.284351
1.26,34.34,10.283108
1.26,34.35,10.281875
1.26,34.36,10.280651
1.26,34.37,10.279437
1.26,34.38,10.278232
1.26,34.39,10.277037
1.26,34.4,10.275852
1.26,34.41,10.274676
1.26,34.42,10.27351
1.26,34.43,10.272353
1.26,34.44,10.271206
1.26,34.45,10.270068
1.26,34.46,10.268941
1.26,34.47,10.267822
1.26,34.48,10.266714
1.26,34.49,10.265615
1.26,34.5,10.264526
1.26,34.51,10.263446
1.26,34.52,10.262376
1.26,34.53,10.261315
1.26,34.54,10.260265
1.26,34.55,10.259223
1.26,34.56,10.258192
1.26,34.57,10.25717
1.26,34.58,10.256158
1.26,34.59,10.255155
1.26,34.6,10.254162
1.26,34.61,10.253179
1.26,34.62,10.252205
1.26,34.63,10.251241
1.26,34.64,10.250287
1.26,34.65,10.249343
1.26,34.66,10.248408
1.26,34.67,10.247482
1.26,34.68,10.246567
1.26,34.69,10.245661
1.26,34.7,10.244765
1.26,34.71,10.243878
1.26,34.72,10.243001
1.26,34.73,10.242134
1.26,34.74,10.241276
1.26,34.75,10.240429
1.26,34.76,10.239591
1.26,34.77,10.238762
1.26,34.78,10.237944
1.26,34.79,10.237135
1.26,34.8,10.236335
1.26,34.81,10.235546
1.26,34.82,10.234766
1.26,34.83,10.233996
1.26,34.84,10.233235
1.26,34.85,10.232484
1.26,34.86,10.231743
1.26,34.87,10.231012
1.26,34.88,10.230291
1.26,34.89,10.229579
1.26,34.9,10.228877
1.26,34.91,10.228184
1.26,34.92,10.227502
1.26,34.93,10.226829
1.26,34.94,10.226165
1.26,34.95,10.225512
1.25,34.96,10.224454
1.25,34.97,10.223319
1.25,34.98,10.222194
1.25,34.99,10.221078
1.25,35,10.219972
1.25,35.01,10.218876
1.25,35.02,10.217789
1.25,35.03,10.216712
1.25,35.04,10.215644
1.25,35.05,10.214586
1.25,35.06,10.213538
1.25,35.07,10.2125
1.25,35.08,10.211471
1.25,35.09,10.210452
1.25,35.1,10.209443
1.25,35.11,10.208443
1.25,35.12,10.207453
1.25,35.13,10.206473
1.25,35.14,10.205502
1.25,35.15,10.204542
1.25,35.16,10.203591
1.25,35.17,10.202649
1.25,35.18,10.201717
1.25,35.19,10.200795
1.25,35.2,10.199883
1.25,35.21,10.198981
1.25,35.22,10.198088
1.25,35.23,10.197205
1.25,35.24,10.196331
1.25,35.25,10.195468
1.25,35.26,10.194614
1.25,35.27,10.19377
1.25,35.28,10.192935
1.25,35.29,10.192111
1.25,35.3,10.191296
1.25,35.31,10.190491
1.25,35.32,10.189695
1.25,35.33,10.18891
1.25,35.34,10.188134
1.25,35.35,10.187368
1.25,35.36,10.186611
1.25,35.37,10.185865
1.25,35.38,10.185128
1.25,35.39,10.184401
1.25,35.4,10.183683
1.25,35.41,10.182976
1.25,35.42,10.182278
1.25,35.43,10.18159
1.25,35.44,10.180912
1.25,35.45,10.180243
1.25,35.46,10.179585
1.25,35.47,10.178936
1.25,35.48,10.178297
1.25,35.49,10.177667
1.25,35.5,10.177048
1.25,35.51,10.176438
1.25,35.52,10.175838
1.25,35.53,10.175248
1.25,35.54,10.174668
1.25,35.55,10.174097
1.25,35.56,10.173536
1.25,35.57,10.172985
1.25,35.58,10.172444
1.25,35.59,10.171913
1.25,35.6,10.171391
1.25,35.61,10.170879
1.25,35.62,10.170377
1.24,35.63,10.16967
1.24,35.64,10.168684
1.24,35.65,10.167708
1.24,35.66,10.166741
1.24,35.67,10.165784
1.24,35.68,10.164837
1.24,35.69,10.1639
1.24,35.7,10.162972
1.24,35.71,10.162054
1.24,35.72,10.161146
1.24,35.73,10.160247
1.24,35.74,10.159359
1.24,35.75,10.15848
1.24,35.76,10.157611
1.24,35.77,10.156752
1.24,35.78,10.155902
1.24,35.79,10.155062
1.24,35.8,10.154232
1.24,35.81,10.153412
1.24,35.82,10.152601
1.24,35.83,10.151801
1.24,35.84,10.15101
1.24,35.85,10.150229
1.24,35.86,10.149458
1.24,35.87,10.148696
1.24,35.88,10.147944
1.24,35.89,10.147203
1.24,35.9,10.14647
1.24,35.91,10.145748
1.24,35.92,10.145036
1.24,35.93,10.144333
1.24,35.94,10.14364
1.24,35.95,10.142957
1.24,35.96,10.142284
1.24,35.97,10.14162
1.24,35.98,10.140967
1.24,35.99,10.140323
1.24,36,10.139689
1.24,36.01,10.139065
1.24,36.02,10.138451
1.24,36.03,10.137846
1.24,36.04,10.137251
1.24,36.05,10.136667
1.24,36.06,10.136092
1.24,36.07,10.135527
1.24,36.08,10.134971
1.24,36.09,10.134426
1.24,36.1,10.13389
1.24,36.11,10.133364
1.24,36.12,10.132848
1.24,36.13,10.132342
1.24,36.14,10.131846
1.24,36.15,10.131359
1.24,36.16,10.130883
1.24,36.17,10.130416
1.24,36.18,10.129959
1.24,36.19,10.129512
1.24,36.2,10.129075
1.24,36.21,10.128648
1.24,36.22,10.12823
1.24,36.23,10.127823
1.24,36.24,10.127425
1.24,36.25,10.127037
1.24,36.26,10.126659
1.24,36.27,10.126291
1.24,36.28,10.125932
1.24,36.29,10.125584
1.23,36.3,10.125232
1.23,36.31,10.124397
1.23,36.32,10.123572
1.23,36.33,10.122757
1.23,36.34,10.121951
1.23,36.35,10.121156
1.23,36.36,10.12037
1.23,36.37,10.119594
1.23,36.38,10.118828
1.23,36.39,10.118072
1.23,36.4,10.117326
1.23,36.41,10.116589
1.23,36.42,10.115863
1.23,36.43,10.115146
1.23,36.44,10.114439
1.23,36.45,10.113742
1.23,36.46,10.113054
1.23,36.47,10.112377
1.23,36.48,10.111709
1.23,36.49,10.111051
1.23,36.5,10.110403
1.23,36.51,10.109765
1.23,36.52,10.109137
1.23,36.53,10.108518
1.23,36.54,10.10791
1.23,36.55,10.107311
1.23,36.56,10.106722
1.23,36.57,10.106143
1.23,36.58,10.105574
1.23,36.59,10.105015
1.23,36.6,10.104465
1.23,36.61,10.103926
1.23,36.62,10.103396
1.23,36.63,10.102876
1.23,36.64,10.102367
1.23,36.65,10.101866
1.23,36.66,10.101376
1.23,36.67,10.100896
1.23,36.68,10.100426
1.23,36.69,10.099965
1.23,36.7,10.099514
1.23,36.71,10.099074
1.23,36.72,10.098643
1.23,36.73,10.098222
1.23,36.74,10.097811
1.23,36.75,10.097409
1.23,36.76,10.097018
1.23,36.77,10.096637
1.23,36.78,10.096265
1.23,36.79,10.095903
1.23,36.8,10.095552
1.23,36.81,10.09521
1.23,36.82,10.094878
1.23,36.83,10.094556
1.23,36.84,10.094243
1.23,36.85,10.093941
1.23,36.86,10.093649
1.23,36.87,10.093366
1.23,36.88,10.093093
1.23,36.89,10.092831
1.23,36.9,10.092578
1.23,36.91,10.092335
1.23,36.92,10.092102
1.23,36.93,10.091879
1.23,36.94,10.091666
1.23,36.95,10.091462
1.23,36.96,10.091269
1.23,36.97,10.091086
1.22,36.98,10.090593
1.22,36.99,10.089922
1.22,37,10.08926
1.22,37.01,10.088609
1.22,37.02,10.087967
1.22,37.03,10.087335
1.22,37.04,10.086713
1.22,37.05,10.086101
1.22,37.06,10.085498
1.22,37.07,10.084906
1.22,37.08,10.084324
1.22,37.09,10.083751
1.22,37.1,10.083188
1.22,37.11,10.082635
1.22,37.12,10.082092
1.22,37.13,10.081559
1.22,37.14,10.081036
1.22,37.15,10.080523
1.22,37.16,10.080019
1.22,37.17,10.079526
1.22,37.18,10.079042
1.22,37.19,10.078568
1.22,37.2,10.078104
1.22,37.21,10.07765
1.22,37.22,10.077206
1.22,37.23,10.076772
1.22,37.24,10.076348
1.22,37.25,10.075934
1.22,37.26,10.075529
1.22,37.27,10.075135
1.22,37.28,10.07475
1.22,37.29,10.074376
1.22,37.3,10.074011
1.22,37.31,10.073656
1.22,37.32,10.073311
1.22,37.33,10.072976
1.22,37.34,10.072651
1.22,37.35,10.072336
1.22,37.36,10.072031
1.22,37.37,10.071735
1.22,37.38,10.07145
1.22,37.39,10.071174
1.22,37.4,10.070909
1.22,37.41,10.070653
1.22,37.42,10.070407
1.22,37.43,10.070171
1.22,37.44,10.069946
1.22,37.45,10.06973
1.22,37.46,10.069524
1.22,37.47,10.069327
1.22,37.48,10.069141
1.22,37.49,10.068965
1.22,37.5,10.068799
1.22,37.51,10.068642
1.22,37.52,10.068496
1.22,37.53,10.068359
1.22,37.54,10.068233
1.22,37.55,10.068116
1.22,37.56,10.068009
1.22,37.57,10.067913
1.22,37.58,10.067826
1.22,37.59,10.067749
1.22,37.6,10.067682
1.22,37.61,10.067625
1.22,37.62,10.067577
1.22,37.63,10.06754
1.22,37.64,10.067513
1.21,37.65,10.067379
1.21,37.66,10.066863
1.21,37.67,10.066357
1.21,37.68,10.06586
1.21,37.69,10.065374
1.21,37.7,10.064897
1.21,37.71,10.06443
1.21,37.72,10.063973
1.21,37.73,10.063526
1.21,37.74,10.063089
1.21,37.75,10.062662
1.21,37.76,10.062245
1.21,37.77,10.061838
1.21,37.78,10.061441
1.21,37.79,10.061053
1.21,37.8,10.060676
1.21,37.81,10.060308
1.21,37.82,10.05995
1.21,37.83,10.059603
1.21,37.84,10.059265
1.21,37.85,10.058937
1.21,37.86,10.058619
1.21,37.87,10.058311
1.21,37.88,10.058013
1.21,37.89,10.057725
1.21,37.9,10.057447
1.21,37.91,10.057179
1.21,37.92,10.05692
1.21,37.93,10.056672
1.21,37.94,10.056434
1.21,37.95,10.056205
1.21,37.96,10.055986
1.21,37.97,10.055778
1.21,37.98,10.055579
1.21,37.99,10.05539
1.21,38,10.055212
1.21,38.01,10.055043
1.21,38.02,10.054884
1.21,38.03,10.054735
1.21,38.04,10.054596
1.21,38.05,10.054467
1.21,38.06,10.054348
1.21,38.07,10.054238
1.21,38.08,10.054139
1.21,38.09,10.05405
1.21,38.1,10.053971
1.21,38.11,10.053901
1.21,38.12,10.053842
1.21,38.13,10.053792
1.21,38.14,10.053753
1.21,38.15,10.053723
1.21,38.16,10.053703
1.21,38.17,10.053694
1.21,38.18,10.053694
1.21,38.17,10.053694
