best m,c is 1.590000,12.540000 with error 16.313027 in direction 0
best m,c is 1.590000,12.550000 with error 16.309250 in direction 0
best m,c is 1.590000,12.560000 with error 16.305477 in direction 0
best m,c is 1.590000,12.570000 with error 16.301710 in direction 0
best m,c is 1.590000,12.580000 with error 16.297948 in direction 0
best m,c is 1.590000,12.590000 with error 16.294191 in direction 0
best m,c is 1.590000,12.600000 with error 16.290440 in direction 0
best m,c is 1.590000,12.610000 with error 16.286694 in direction 0
best m,c is 1.590000,12.620000 with error 16.282953 in direction 0
best m,c is 1.590000,12.630000 with error 16.279218 in direction 0
best m,c is 1.590000,12.640000 with error 16.275487 in direction 0
best m,c is 1.590000,12.650000 with error 16.271762 in direction 0
best m,c is 1.590000,12.660000 with error 16.268043 in direction 0
best m,c is 1.590000,12.670000 with error 16.264328 in direction 0
best m,c is 1.590000,12.680000 with error 16.260619 in direction 0
best m,c is 1.590000,12.690000 with error 16.256916 in direction 0
best m,c is 1.590000,12.700000 with error 16.253217 in direction 0
best m,c is 1.580000,12.710000 with error 16.249522 in direction 7
best m,c is 1.580000,12.720000 with error 16.245519 in direction 0
best m,c is 1.580000,12.730000 with error 16.241521 in direction 0
best m,c is 1.580000,12.740000 with error 16.237528 in direction 0
best m,c is 1.580000,12.750000 with error 16.233541 in direction 0
best m,c is 1.580000,12.760000 with error 16.229558 in direction 0
best m,c is 1.580000,12.770000 with error 16.225581 in direction 0
best m,c is 1.580000,12.780000 with error 16.221609 in direction 0
best m,c is 1.580000,12.790000 with error 16.217642 in direction 0
best m,c is 1.580000,12.800000 with error 16.213680 in direction 0
best m,c is 1.580000,12.810000 with error 16.209724 in direction 0
best m,c is 1.580000,12.820000 with error 16.205772 in direction 0
best m,c is 1.580000,12.830000 with error 16.201826 in direction 0
best m,c is 1.580000,12.840000 with error 16.197885 in direction 0
best m,c is 1.580000,12.850000 with error 16.193950 in direction 0
best m,c is 1.580000,12.860000 with error 16.190019 in direction 0
best m,c is 1.580000,12.870000 with error 16.186094 in direction 0
best m,c is 1.580000,12.880000 with error 16.182174 in direction 0
best m,c is 1.580000,12.890000 with error 16.178259 in direction 0
best m,c is 1.580000,12.900000 with error 16.174350 in direction 0
best m,c is 1.580000,12.910000 with error 16.170446 in direction 0
best m,c is 1.580000,12.920000 with error 16.166547 in direction 0
best m,c is 1.580000,12.930000 with error 16.162653 in direction 0
best m,c is 1.580000,12.940000 with error 16.158764 in direction 0
best m,c is 1.580000,12.950000 with error 16.154881 in direction 0
best m,c is 1.580000,12.960000 with error 16.151003 in direction 0
best m,c is 1.580000,12.970000 with error 16.147130 in direction 0
best m,c is 1.580000,12.980000 with error 16.143263 in direction 0
best m,c is 1.580000,12.990000 with error 16.139400 in direction 0
best m,c is 1.580000,13.000000 with error 16.135543 in direction 0
best m,c is 1.580000,13.010000 with error 16.131692 in direction 0
best m,c is 1.580000,13.020000 with error 16.127845 in direction 0
best m,c is 1.580000,13.030000 with error 16.124004 in direction 0
best m,c is 1.580000,13.040000 with error 16.120168 in direction 0
best m,c is 1.580000,13.050000 with error 16.116338 in direction 0
best m,c is 1.580000,13.060000 with error 16.112513 in direction 0
best m,c is 1.580000,13.070000 with error 16.108693 in direction 0
best m,c is 1.580000,13.080000 with error 16.104878 in direction 0
best m,c is 1.580000,13.090000 with error 16.101069 in direction 0
best m,c is 1.580000,13.100000 with error 16.097265 in direction 0
best m,c is 1.580000,13.110000 with error 16.093466 in direction 0
best m,c is 1.580000,13.120000 with error 16.089673 in direction 0
best m,c is 1.580000,13.130000 with error 16.085885 in direction 0
best m,c is 1.580000,13.140000 with error 16.082102 in direction 0
best m,c is 1.580000,13.150000 with error 16.078324 in direction 0
best m,c is 1.580000,13.160000 with error 16.074552 in direction 0
best m,c is 1.580000,13.170000 with error 16.070786 in direction 0
best m,c is 1.580000,13.180000 with error 16.067024 in direction 0
best m,c is 1.580000,13.190000 with error 16.063268 in direction 0
best m,c is 1.580000,13.200000 with error 16.059517 in direction 0
best m,c is 1.580000,13.210000 with error 16.055772 in direction 0
best m,c is 1.580000,13.220000 with error 16.052032 in direction 0
best m,c is 1.580000,13.230000 with error 16.048297 in direction 0
best m,c is 1.580000,13.240000 with error 16.044568 in direction 0
best m,c is 1.580000,13.250000 with error 16.040844 in direction 0
best m,c is 1.580000,13.260000 with error 16.037126 in direction 0
best m,c is 1.580000,13.270000 with error 16.033413 in direction 0
best m,c is 1.580000,13.280000 with error 16.029705 in direction 0
best m,c is 1.580000,13.290000 with error 16.026002 in direction 0
best m,c is 1.580000,13.300000 with error 16.022305 in direction 0
best m,c is 1.580000,13.310000 with error 16.018614 in direction 0
best m,c is 1.580000,13.320000 with error 16.014927 in direction 0
best m,c is 1.580000,13.330000 with error 16.011247 in direction 0
best m,c is 1.580000,13.340000 with error 16.007571 in direction 0
best m,c is 1.580000,13.350000 with error 16.003901 in direction 0
best m,c is 1.580000,13.360000 with error 16.000237 in direction 0
best m,c is 1.580000,13.370000 with error 15.996577 in direction 0
best m,c is 1.580000,13.380000 with error 15.992923 in direction 0
best m,c is 1.570000,13.390000 with error 15.989081 in direction 7
best m,c is 1.570000,13.400000 with error 15.985117 in direction 0
best m,c is 1.570000,13.410000 with error 15.981159 in direction 0
best m,c is 1.570000,13.420000 with error 15.977206 in direction 0
best m,c is 1.570000,13.430000 with error 15.973258 in direction 0
best m,c is 1.570000,13.440000 with error 15.969316 in direction 0
best m,c is 1.570000,13.450000 with error 15.965379 in direction 0
best m,c is 1.570000,13.460000 with error 15.961447 in direction 0
best m,c is 1.570000,13.470000 with error 15.957521 in direction 0
best m,c is 1.570000,13.480000 with error 15.953600 in direction 0
best m,c is 1.570000,13.490000 with error 15.949684 in direction 0
best m,c is 1.570000,13.500000 with error 15.945773 in direction 0
best m,c is 1.570000,13.510000 with error 15.941868 in direction 0
best m,c is 1.570000,13.520000 with error 15.937968 in direction 0
best m,c is 1.570000,13.530000 with error 15.934073 in direction 0
best m,c is 1.570000,13.540000 with error 15.930184 in direction 0
best m,c is 1.570000,13.550000 with error 15.926300 in direction 0
best m,c is 1.570000,13.560000 with error 15.922421 in direction 0
best m,c is 1.570000,13.570000 with error 15.918548 in direction 0
best m,c is 1.570000,13.580000 with error 15.914680 in direction 0
best m,c is 1.570000,13.590000 with error 15.910818 in direction 0
best m,c is 1.570000,13.600000 with error 15.906960 in direction 0
best m,c is 1.570000,13.610000 with error 15.903108 in direction 0
best m,c is 1.570000,13.620000 with error 15.899262 in direction 0
best m,c is 1.570000,13.630000 with error 15.895421 in direction 0
best m,c is 1.570000,13.640000 with error 15.891585 in direction 0
best m,c is 1.570000,13.650000 with error 15.887754 in direction 0
best m,c is 1.570000,13.660000 with error 15.883929 in direction 0
best m,c is 1.570000,13.670000 with error 15.880110 in direction 0
best m,c is 1.570000,13.680000 with error 15.876295 in direction 0
best m,c is 1.570000,13.690000 with error 15.872486 in direction 0
best m,c is 1.570000,13.700000 with error 15.868683 in direction 0
best m,c is 1.570000,13.710000 with error 15.864885 in direction 0
best m,c is 1.570000,13.720000 with error 15.861092 in direction 0
best m,c is 1.570000,13.730000 with error 15.857304 in direction 0
best m,c is 1.570000,13.740000 with error 15.853522 in direction 0
best m,c is 1.570000,13.750000 with error 15.849746 in direction 0
best m,c is 1.570000,13.760000 with error 15.845975 in direction 0
best m,c is 1.570000,13.770000 with error 15.842209 in direction 0
best m,c is 1.570000,13.780000 with error 15.838449 in direction 0
best m,c is 1.570000,13.790000 with error 15.834694 in direction 0
best m,c is 1.570000,13.800000 with error 15.830944 in direction 0
best m,c is 1.570000,13.810000 with error 15.827200 in direction 0
best m,c is 1.570000,13.820000 with error 15.823462 in direction 0
best m,c is 1.570000,13.830000 with error 15.819729 in direction 0
best m,c is 1.570000,13.840000 with error 15.816001 in direction 0
best m,c is 1.570000,13.850000 with error 15.812278 in direction 0
best m,c is 1.570000,13.860000 with error 15.808562 in direction 0
best m,c is 1.570000,13.870000 with error 15.804850 in direction 0
best m,c is 1.570000,13.880000 with error 15.801144 in direction 0
best m,c is 1.570000,13.890000 with error 15.797444 in direction 0
best m,c is 1.570000,13.900000 with error 15.793749 in direction 0
best m,c is 1.570000,13.910000 with error 15.790059 in direction 0
best m,c is 1.570000,13.920000 with error 15.786375 in direction 0
best m,c is 1.570000,13.930000 with error 15.782697 in direction 0
best m,c is 1.570000,13.940000 with error 15.779024 in direction 0
best m,c is 1.570000,13.950000 with error 15.775356 in direction 0
best m,c is 1.570000,13.960000 with error 15.771694 in direction 0
best m,c is 1.570000,13.970000 with error 15.768037 in direction 0
best m,c is 1.570000,13.980000 with error 15.764386 in direction 0
best m,c is 1.570000,13.990000 with error 15.760740 in direction 0
best m,c is 1.570000,14.000000 with error 15.757100 in direction 0
best m,c is 1.570000,14.010000 with error 15.753466 in direction 0
best m,c is 1.570000,14.020000 with error 15.749837 in direction 0
best m,c is 1.570000,14.030000 with error 15.746213 in direction 0
best m,c is 1.570000,14.040000 with error 15.742595 in direction 0
best m,c is 1.570000,14.050000 with error 15.738982 in direction 0
best m,c is 1.560000,14.060000 with error 15.735308 in direction 7
best m,c is 1.560000,14.070000 with error 15.731381 in direction 0
best m,c is 1.560000,14.080000 with error 15.727459 in direction 0
best m,c is 1.560000,14.090000 with error 15.723542 in direction 0
best m,c is 1.560000,14.100000 with error 15.719631 in direction 0
best m,c is 1.560000,14.110000 with error 15.715726 in direction 0
best m,c is 1.560000,14.120000 with error 15.711825 in direction 0
best m,c is 1.560000,14.130000 with error 15.707931 in direction 0
best m,c is 1.560000,14.140000 with error 15.704041 in direction 0
best m,c is 1.560000,14.150000 with error 15.700157 in direction 0
best m,c is 1.560000,14.160000 with error 15.696278 in direction 0
best m,c is 1.560000,14.170000 with error 15.692405 in direction 0
best m,c is 1.560000,14.180000 with error 15.688537 in direction 0
best m,c is 1.560000,14.190000 with error 15.684675 in direction 0
best m,c is 1.560000,14.200000 with error 15.680818 in direction 0
best m,c is 1.560000,14.210000 with error 15.676966 in direction 0
best m,c is 1.560000,14.220000 with error 15.673120 in direction 0
best m,c is 1.560000,14.230000 with error 15.669280 in direction 0
best m,c is 1.560000,14.240000 with error 15.665444 in direction 0
best m,c is 1.560000,14.250000 with error 15.661615 in direction 0
best m,c is 1.560000,14.260000 with error 15.657790 in direction 0
best m,c is 1.560000,14.270000 with error 15.653971 in direction 0
best m,c is 1.560000,14.280000 with error 15.650158 in direction 0
best m,c is 1.560000,14.290000 with error 15.646350 in direction 0
best m,c is 1.560000,14.300000 with error 15.642548 in direction 0
best m,c is 1.560000,14.310000 with error 15.638751 in direction 0
best m,c is 1.560000,14.320000 with error 15.634959 in direction 0
best m,c is 1.560000,14.330000 with error 15.631173 in direction 0
best m,c is 1.560000,14.340000 with error 15.627392 in direction 0
best m,c is 1.560000,14.350000 with error 15.623617 in direction 0
best m,c is 1.560000,14.360000 with error 15.619848 in direction 0
best m,c is 1.560000,14.370000 with error 15.616084 in direction 0
best m,c is 1.560000,14.380000 with error 15.612325 in direction 0
best m,c is 1.560000,14.390000 with error 15.608572 in direction 0
best m,c is 1.560000,14.400000 with error 15.604824 in direction 0
best m,c is 1.560000,14.410000 with error 15.601082 in direction 0
best m,c is 1.560000,14.420000 with error 15.597345 in direction 0
best m,c is 1.560000,14.430000 with error 15.593614 in direction 0
best m,c is 1.560000,14.440000 with error 15.589889 in direction 0
best m,c is 1.560000,14.450000 with error 15.586169 in direction 0
best m,c is 1.560000,14.460000 with error 15.582454 in direction 0
best m,c is 1.560000,14.470000 with error 15.578745 in direction 0
best m,c is 1.560000,14.480000 with error 15.575042 in direction 0
best m,c is 1.560000,14.490000 with error 15.571344 in direction 0
best m,c is 1.560000,14.500000 with error 15.567652 in direction 0
best m,c is 1.560000,14.510000 with error 15.563965 in direction 0
best m,c is 1.560000,14.520000 with error 15.560284 in direction 0
best m,c is 1.560000,14.530000 with error 15.556608 in direction 0
best m,c is 1.560000,14.540000 with error 15.552938 in direction 0
best m,c is 1.560000,14.550000 with error 15.549273 in direction 0
best m,c is 1.560000,14.560000 with error 15.545614 in direction 0
best m,c is 1.560000,14.570000 with error 15.541961 in direction 0
best m,c is 1.560000,14.580000 with error 15.538313 in direction 0
best m,c is 1.560000,14.590000 with error 15.534671 in direction 0
best m,c is 1.560000,14.600000 with error 15.531034 in direction 0
best m,c is 1.560000,14.610000 with error 15.527403 in direction 0
best m,c is 1.560000,14.620000 with error 15.523778 in direction 0
best m,c is 1.560000,14.630000 with error 15.520158 in direction 0
best m,c is 1.560000,14.640000 with error 15.516543 in direction 0
best m,c is 1.560000,14.650000 with error 15.512935 in direction 0
best m,c is 1.560000,14.660000 with error 15.509332 in direction 0
